description	!OMP_NUM_THREADS	fPACK	PACK	Y2	A2	T2	C2	Y1	A1	T1	C1	SXX	SYY	SZZ	sp	alpha_patch	posP	sc	injectionf	timeMax	FOLDER	NAME
01	4	'Packing/'	'121_50k'	4.30e+10	0.1	1.60e+07	6.00e+07	4.50e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L1H1/'	'-L1H1'
02	4	'Packing/'	'121_50k'	4.30e+10	0.1	1.60e+07	6.00e+07	4.00e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L1H2/'	'-L1H2'
03	4	'Packing/'	'121_50k'	4.30e+10	0.1	1.60e+07	6.00e+07	3.50e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L1H3/'	'-L1H3'
04	4	'Packing/'	'121_50k'	4.30e+10	0.1	1.60e+07	6.00e+07	3.00e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L1H4/'	'-L1H4'
05	4	'Packing/'	'121_50k'	3.80e+10	0.1	1.60e+07	6.00e+07	4.50e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L2H1/'	'-L2H1'
06	4	'Packing/'	'121_50k'	3.80e+10	0.1	1.60e+07	6.00e+07	4.00e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L2H2/'	'-L2H2'
07	4	'Packing/'	'121_50k'	3.80e+10	0.1	1.60e+07	6.00e+07	3.50e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L2H3/'	'-L2H3'
08	4	'Packing/'	'121_50k'	3.80e+10	0.1	1.60e+07	6.00e+07	3.00e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L2H4/'	'-L2H4'
09	4	'Packing/'	'121_50k'	3.30e+10	0.1	1.60e+07	6.00e+07	4.50e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L3H1/'	'-L3H1'
10	4	'Packing/'	'121_50k'	3.30e+10	0.1	1.60e+07	6.00e+07	4.00e+10	0.0001	2.68e+07	9.80e+07	-17.3e6	-17.3e6	-17.3e6	0.1	90	[[0.5,0.5,0.35],[0.5,0.5,0.65],[0.5,0.214285,0.35],[0.5,0.214285,0.65],[0.5,0.785714,0.35],[0.5,0.785714,0.65]]	0.1	1E-07	0.004	'L3H2/'	'-L3H2'
